campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year,data_source,campaign_duration_days,month,quarter
2024_0044,Campaign_2024_0044,2024-04-07,2024-12-15,TikTok Ads,Europe,66961,3795,25864,13425.61,104031.45,Adults,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,252,4,2
2024_0045,Campaign_2024_0045,2024-03-31,2024-09-19,Email,North America,78404,77578,29982,21926.67,120003.86,Adults,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,172,3,1
2024_0046,Campaign_2024_0046,2024-05-15,2024-07-12,Email,North America,22519,21391,60489,22745.75,100596.49,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,58,5,2
2024_0047,Campaign_2024_0047,2024-06-25,2024-12-05,Facebook Ads,Africa,1258,40674,82286,38228.24,106614.84,Seniors,Home,Tablet,1970-01-01 00:00:00.000002024,H1_2024,163,6,2
2024_0048,Campaign_2024_0048,2024-06-30,2024-11-01,Google Ads,Asia,75146,44695,11228,28015.04,53986.52,Seniors,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,124,6,2
2024_0049,Campaign_2024_0049,2024-04-04,2024-07-11,Google Display Network,Europe,6434,1182,35161,28154.96,125835.33,Youth,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,98,4,2
2024_0050,Campaign_2024_0050,2024-05-21,2024-12-06,Google Ads,South America,53764,83564,65773,20847.08,75434.02,Seniors,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,199,5,2
2024_0051,Campaign_2024_0051,2024-04-06,2024-09-10,TikTok Ads,Africa,65027,79297,30220,42303.24,36955.16,Adults,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,157,4,2
2024_0052,Campaign_2024_0052,2024-05-08,2024-07-12,Facebook Ads,Africa,87869,51085,61355,5483.54,12757.79,Youth,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,65,5,2
2024_0053,Campaign_2024_0053,2024-02-13,2024-08-12,Google Ads,South America,40718,52667,51999,4506.22,54564.76,Adults,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,181,2,1
2024_0054,Campaign_2024_0054,2024-01-23,2024-08-22,Email,Europe,26886,9298,28662,46453.18,13484.64,Youth,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,212,1,1
2024_0055,Campaign_2024_0055,2024-04-12,2024-10-23,TikTok Ads,South America,88864,83121,11265,43651.24,83318.23,Youth,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,194,4,2
2024_0056,Campaign_2024_0056,2024-05-19,2024-08-24,Google Display Network,Europe,85251,36966,25570,48747.28,6375.34,Youth,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,97,5,2
2024_0057,Campaign_2024_0057,2024-02-18,2024-09-03,Google Ads,South America,23433,46938,30577,16463.64,112700.63,Youth,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,198,2,1
2024_0058,Campaign_2024_0058,2024-04-21,2024-11-27,Email,South America,67344,56722,37471,42356.03,46353.05,Seniors,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,220,4,2
2024_0059,Campaign_2024_0059,2024-03-04,2024-12-18,Facebook Ads,South America,29524,1516,84256,44916.49,122548.45,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,289,3,1
2024_0060,Campaign_2024_0060,2024-04-13,2024-08-04,TikTok Ads,Africa,9904,65464,39766,27524.54,43402.44,Seniors,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,113,4,2
2024_0061,Campaign_2024_0061,2024-05-16,2024-10-17,Google Ads,Africa,61361,15343,28242,31521.22,112168.94,Adults,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,154,5,2
2024_0062,Campaign_2024_0062,2024-01-30,2024-12-09,Facebook Ads,North America,25685,42245,71848,30122.3,17092.48,Seniors,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,314,1,1
2024_0063,Campaign_2024_0063,2024-01-23,2024-12-02,Google Ads,South America,9483,19836,61290,12739.81,137619.77,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,314,1,1
2024_0064,Campaign_2024_0064,2024-02-18,2024-08-15,Facebook Ads,North America,94274,37436,54886,17775.04,8183.69,Adults,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,179,2,1
2024_0065,Campaign_2024_0065,2024-02-15,2024-11-15,TikTok Ads,North America,95182,46966,84493,36917.9,138576.39,Adults,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,274,2,1
2024_0066,Campaign_2024_0066,2024-04-17,2024-09-10,Facebook Ads,South America,88038,23579,46763,8482.09,146732.92,Youth,Services,Desktop,1970-01-01 00:00:00.000002024,H1_2024,146,4,2
2024_0067,Campaign_2024_0067,2024-03-06,2024-07-25,Google Ads,North America,23362,9201,63540,31854.27,82784.9,Adults,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,141,3,1
2024_0068,Campaign_2024_0068,2024-01-09,2024-09-09,Facebook Ads,South America,28104,23655,30572,14809.1,39653.99,Adults,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,244,1,1
2024_0069,Campaign_2024_0069,2024-05-09,2024-10-03,Email,North America,55558,58917,65906,37863.3,40266.17,Seniors,Services,Desktop,1970-01-01 00:00:00.000002024,H1_2024,147,5,2
2024_0070,Campaign_2024_0070,2024-06-10,2024-10-02,Google Ads,Europe,80551,71708,10490,40609.24,115663.65,Youth,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,114,6,2
2024_0071,Campaign_2024_0071,2024-06-30,2024-10-20,Email,South America,31410,42079,72883,10931.1,63323.99,Seniors,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,112,6,2
2024_0072,Campaign_2024_0072,2024-02-15,2024-11-06,TikTok Ads,Africa,47880,59381,17535,36074.04,137511.83,Adults,Home,Tablet,1970-01-01 00:00:00.000002024,H1_2024,265,2,1
2024_0073,Campaign_2024_0073,2024-03-05,2024-12-23,Email,Africa,17295,38500,25216,5346.04,122290.25,Youth,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,293,3,1
2024_0074,Campaign_2024_0074,2024-05-20,2024-07-22,Facebook Ads,Africa,78422,81539,143,42205.58,31709.38,Adults,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,63,5,2
2024_0075,Campaign_2024_0075,2024-06-30,2024-07-10,Google Display Network,Africa,72722,35292,16271,21467.06,86065.35,Youth,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,10,6,2
2024_0076,Campaign_2024_0076,2024-01-08,2024-10-01,TikTok Ads,Asia,78826,30733,70853,15401.89,102973.3,Seniors,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,267,1,1
2024_0077,Campaign_2024_0077,2024-06-27,2024-12-02,Google Ads,Europe,44351,82960,57038,31965.27,130581.86,Seniors,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,158,6,2
2024_0078,Campaign_2024_0078,2024-05-19,2024-10-10,Google Display Network,Europe,87119,74138,57254,11800.66,128714.44,Adults,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,144,5,2
2024_0079,Campaign_2024_0079,2024-06-27,2024-07-06,Google Ads,Europe,18756,2688,59223,19440.95,64373.82,Youth,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,9,6,2
2024_0080,Campaign_2024_0080,2024-05-02,2024-10-03,TikTok Ads,Asia,25282,65139,80135,20616.39,50428.46,Adults,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,154,5,2
2024_0081,Campaign_2024_0081,2024-03-03,2024-07-04,Email,North America,80191,89717,28603,9099.68,12246.64,Seniors,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,123,3,1
2024_0082,Campaign_2024_0082,2024-02-29,2024-09-22,Facebook Ads,South America,22700,20480,48452,1917.52,111297.05,Seniors,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,206,2,1
2024_0083,Campaign_2024_0083,2024-01-14,2024-12-15,Google Display Network,South America,33270,81334,3723,45298.7,91840.72,Youth,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,336,1,1
2024_0084,Campaign_2024_0084,2024-05-10,2024-08-15,Email,Africa,37226,78845,5411,1796.48,142780.9,Adults,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,97,5,2
2024_0085,Campaign_2024_0085,2024-04-28,2024-07-18,Email,Asia,15624,39101,65453,16948.29,76580.61,Youth,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,81,4,2
2024_0086,Campaign_2024_0086,2024-03-28,2024-09-12,Facebook Ads,Asia,65108,31669,50160,32731.36,113911.85,Youth,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,168,3,1
2024_0087,Campaign_2024_0087,2024-05-28,2024-07-10,Google Ads,South America,62554,34917,5707,2023.97,59038.87,Seniors,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,43,5,2
2024_0088,Campaign_2024_0088,2024-04-15,2024-07-19,Email,South America,88539,10917,68531,43961.61,114904.1,Seniors,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,95,4,2
2024_0089,Campaign_2024_0089,2024-04-14,2024-11-16,Email,South America,94451,78382,77426,25441.23,123340.35,Seniors,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,216,4,2
2024_0090,Campaign_2024_0090,2024-01-23,2024-09-06,Facebook Ads,South America,50736,5497,13626,34082.7,52283.47,Seniors,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,227,1,1
2024_0091,Campaign_2024_0091,2024-05-03,2024-07-22,Google Ads,Africa,17897,26328,28675,8872.23,54024.49,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,80,5,2
2024_0092,Campaign_2024_0092,2024-03-28,2024-10-20,TikTok Ads,North America,76205,74598,7526,2269.31,54056.03,Adults,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,206,3,1
2024_0093,Campaign_2024_0093,2024-02-28,2024-09-21,Facebook Ads,South America,83543,14014,83852,10376.18,62558.31,Youth,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,206,2,1
2024_0094,Campaign_2024_0094,2024-01-04,2024-07-13,Google Display Network,South America,43912,87425,75461,5575.35,5470.89,Seniors,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,191,1,1
2024_0095,Campaign_2024_0095,2024-03-08,2024-08-31,Google Ads,Asia,18987,83268,67019,33196.89,48440.78,Seniors,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,176,3,1
2024_0096,Campaign_2024_0096,2024-04-30,2024-12-01,Email,Europe,58575,49705,61654,37149.7,63918.27,Youth,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,215,4,2
2024_0097,Campaign_2024_0097,2024-06-19,2024-12-10,TikTok Ads,Europe,53308,6615,39450,48088.62,55350.28,Seniors,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,174,6,2
2024_0098,Campaign_2024_0098,2024-01-12,2024-11-19,TikTok Ads,North America,94840,23100,38160,46270.63,75066.3,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,312,1,1
2024_0099,Campaign_2024_0099,2024-06-24,2024-07-08,Email,Asia,19432,79251,44430,37961.9,37528.49,Adults,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,14,6,2
2024_0100,Campaign_2024_0100,2024-03-31,2024-08-01,Facebook Ads,Europe,42621,25388,75861,11894.72,78284.98,Youth,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,123,3,1
2024_0101,Campaign_2024_0101,2024-03-10,2024-09-01,Google Ads,Asia,77690,20765,972,7313.92,125391.48,Adults,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,175,3,1
2024_0102,Campaign_2024_0102,2024-06-25,2024-10-21,Google Ads,Europe,90959,76161,33798,48257.43,5272.76,Adults,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,118,6,2
2024_0103,Campaign_2024_0103,2024-02-21,2024-11-10,Facebook Ads,Europe,79512,37017,65367,23673.34,71707.02,Seniors,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,263,2,1
2024_0104,Campaign_2024_0104,2024-03-06,2024-12-17,Facebook Ads,Asia,51590,12020,41945,35428.91,79171.61,Seniors,Services,Desktop,1970-01-01 00:00:00.000002024,H1_2024,286,3,1
2024_0105,Campaign_2024_0105,2024-03-24,2024-08-07,Google Ads,Europe,54266,59604,24516,32620.12,111500.87,Youth,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,136,3,1
2024_0106,Campaign_2024_0106,2024-02-21,2024-09-12,Email,Europe,22019,88350,47579,21808.97,143445.39,Seniors,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,204,2,1
2024_0107,Campaign_2024_0107,2024-05-17,2024-12-19,Google Display Network,Europe,10809,84782,67041,11187.52,65839.31,Adults,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,216,5,2
2024_0108,Campaign_2024_0108,2024-06-05,2024-08-19,Google Display Network,North America,94788,4798,1461,34522.34,10366.83,Seniors,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,75,6,2
2024_0109,Campaign_2024_0109,2024-06-19,2024-09-07,Facebook Ads,Africa,52502,87075,50784,41739.78,123578.08,Adults,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,80,6,2
2024_0110,Campaign_2024_0110,2024-04-16,2024-11-14,Email,Africa,16444,9218,73515,35273.01,12088.56,Youth,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,212,4,2
2024_0111,Campaign_2024_0111,2024-06-09,2024-11-26,Google Display Network,Asia,49817,44350,39192,25376.46,33290.64,Youth,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,170,6,2
2024_0112,Campaign_2024_0112,2024-01-07,2024-09-10,Email,South America,7933,47005,25930,31074.62,86877.76,Seniors,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,247,1,1
2024_0113,Campaign_2024_0113,2024-01-29,2024-10-04,Email,South America,28357,30978,30968,24388.5,112430.24,Seniors,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,249,1,1
2024_0114,Campaign_2024_0114,2024-02-01,2024-07-18,Facebook Ads,Europe,35311,13948,77979,27322.8,67622.58,Seniors,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,168,2,1
2024_0115,Campaign_2024_0115,2024-04-21,2024-08-07,TikTok Ads,North America,31276,42361,40206,33695.06,122138.76,Seniors,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,108,4,2
2024_0116,Campaign_2024_0116,2024-01-13,2024-09-08,Email,Africa,51002,64322,52462,38362.7,67795.03,Adults,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,239,1,1
2024_0117,Campaign_2024_0117,2024-05-21,2024-07-31,Google Ads,Asia,66439,84749,46952,44047.3,73708.67,Seniors,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,71,5,2
2024_0118,Campaign_2024_0118,2024-05-24,2024-10-28,Facebook Ads,Europe,61987,54979,24377,37782.75,65641.22,Seniors,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,157,5,2
2024_0119,Campaign_2024_0119,2024-03-15,2024-11-13,Facebook Ads,Asia,63426,32954,52612,9590.93,101601.69,Seniors,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,243,3,1
2024_0120,Campaign_2024_0120,2024-01-24,2024-12-30,Google Ads,Europe,92474,62392,49481,19574.73,1700.68,Adults,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,341,1,1
2024_0121,Campaign_2024_0121,2024-01-11,2024-11-17,TikTok Ads,Europe,62235,71273,49576,20544.27,83798.07,Seniors,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,311,1,1
2024_0122,Campaign_2024_0122,2024-05-01,2024-10-29,Email,Europe,5937,20112,40081,31136.07,4468.49,Adults,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,181,5,2
2024_0123,Campaign_2024_0123,2024-05-19,2024-11-17,Google Ads,Europe,23458,60564,52154,22839.47,62149.76,Youth,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,182,5,2
2024_0124,Campaign_2024_0124,2024-05-26,2024-10-01,TikTok Ads,Asia,68033,31287,37534,27710.97,110189.77,Seniors,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,128,5,2
2024_0125,Campaign_2024_0125,2024-06-06,2024-11-09,Google Ads,North America,44001,48203,83923,36063.77,87120.59,Youth,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,156,6,2
2024_0126,Campaign_2024_0126,2024-04-05,2024-10-08,TikTok Ads,Europe,78472,12198,21395,39477.41,59864.11,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,186,4,2
2024_0127,Campaign_2024_0127,2024-02-21,2024-12-04,Facebook Ads,North America,80182,59020,42435,23734.28,130679.27,Adults,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,287,2,1
2024_0128,Campaign_2024_0128,2024-06-12,2024-08-22,TikTok Ads,Africa,9644,33333,31245,21383.04,41819.4,Youth,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,71,6,2
2024_0129,Campaign_2024_0129,2024-04-26,2024-10-03,Facebook Ads,North America,54824,61690,51037,37089.91,52050.17,Youth,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,160,4,2
2024_0130,Campaign_2024_0130,2024-02-17,2024-09-02,TikTok Ads,North America,22417,67244,81138,6834.33,89173.86,Seniors,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,198,2,1
2024_0131,Campaign_2024_0131,2024-01-21,2024-12-27,Facebook Ads,South America,69801,73308,33688,24661.21,11666.86,Youth,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,341,1,1
2024_0132,Campaign_2024_0132,2024-01-15,2024-09-20,Google Ads,South America,72769,78823,9147,32501.46,29828.73,Adults,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,249,1,1
2024_0133,Campaign_2024_0133,2024-01-06,2024-07-16,Google Display Network,South America,94650,22078,14288,33316.34,87126.15,Seniors,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,192,1,1
2024_0134,Campaign_2024_0134,2024-06-29,2024-08-24,Google Display Network,Europe,1034,85821,64712,32804.99,3769.04,Adults,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,56,6,2
2024_0135,Campaign_2024_0135,2024-03-01,2024-07-13,Email,South America,12442,34051,11615,1987.84,21422.34,Youth,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,134,3,1
